"...1" "BTC-USD" "ETH-USD" "BNB-USD" "ADA-USD" "XRP-USD" "LTC-USD"
"2021-02-17" 52149.0078125 1848.45825195312 164.670104980469 0.890919983386993 0.535537004470825 236.973526000977
"2021-02-18" 51679.796875 1937.44921875 195.932632446289 0.914119005203247 0.532432973384857 226.869552612305
"2021-02-19" 55888.1328125 1960.16479492188 332.616027832031 0.927649021148682 0.567018985748291 236.676010131836
"2021-02-20" 56099.51953125 1919.53405761719 255.953735351562 1.12295794487 0.517512023448944 227.619888305664
"2021-02-21" 57539.9453125 1935.60107421875 293.923583984375 1.10052001476288 0.5485600233078 227.231353759766
"2021-02-22" 54207.3203125 1781.99291992188 267.509796142578 1.09915101528168 0.571740984916687 208.106796264648
"2021-02-23" 48824.42578125 1570.20397949219 230.994247436523 0.954708993434906 0.473562985658646 176.934921264648
"2021-02-24" 49705.33203125 1626.57568359375 254.359130859375 1.05165696144104 0.471832007169724 181.378494262695
"2021-02-25" 47093.8515625 1475.70373535156 233.885955810547 1.07911598682404 0.43452399969101 178.901840209961
"2021-02-26" 46339.76171875 1446.03369140625 221.680435180664 1.24110496044159 0.427899986505508 170.398147583008
"2021-02-27" 46188.453125 1459.97314453125 225.249435424805 1.32485997676849 0.437808990478516 172.100448608398
"2021-02-28" 45137.76953125 1416.04895019531 209.574401855469 1.30805897712708 0.414952993392944 164.927169799805
"2021-03-01" 49631.2421875 1564.70764160156 254.629928588867 1.29238796234131 0.447243988513947 175.237899780273
"2021-03-02" 48378.98828125 1492.60876464844 239.522537231445 1.22558200359344 0.436836987733841 177.872436523438
"2021-03-03" 50538.2421875 1575.85314941406 241.091369628906 1.21659302711487 0.450278997421265 188.525665283203
"2021-03-04" 48561.16796875 1541.91430664062 229.945068359375 1.11486804485321 0.486604988574982 181.078643798828
"2021-03-05" 48927.3046875 1533.27502441406 226.37255859375 1.16852295398712 0.458119004964828 180.765609741211
"2021-03-06" 48912.3828125 1654.74157714844 226.666854858398 1.13101196289062 0.465106010437012 182.981903076172
"2021-03-07" 51206.69140625 1723.15380859375 240.179214477539 1.1333669424057 0.466866999864578 190.75910949707
"2021-03-08" 52246.5234375 1834.72790527344 240.318664550781 1.11805295944214 0.47359699010849 191.927688598633
"2021-03-09" 54824.1171875 1868.048828125 293.463226318359 1.19516098499298 0.485987991094589 203.63786315918
"2021-03-10" 56008.55078125 1799.16625976562 279.358032226562 1.1350029706955 0.463165998458862 200.516860961914
"2021-03-11" 57805.12109375 1826.19494628906 289.790802001953 1.12478995323181 0.452960014343262 201.250335693359
"2021-03-12" 57332.08984375 1772.10241699219 263.685821533203 1.03914403915405 0.441130995750427 220.829406738281
"2021-03-13" 61243.0859375 1924.68542480469 276.104705810547 1.10331404209137 0.459924012422562 226.57829284668
"2021-03-14" 59302.31640625 1854.56433105469 264.636749267578 1.05915403366089 0.442111998796463 215.296096801758
"2021-03-15" 55907.19921875 1791.70227050781 254.660827636719 1.03353905677795 0.437554985284805 201.264617919922
"2021-03-16" 56804.90234375 1806.97180175781 258.100677490234 1.24295294284821 0.462599992752075 201.040634155273
"2021-03-17" 58870.89453125 1823.44934082031 269.854858398438 1.37867295742035 0.472416996955872 206.067932128906
"2021-03-18" 57858.921875 1782.85510253906 261.704803466797 1.23900604248047 0.47291898727417 200.537307739258
"2021-03-19" 58346.65234375 1817.62414550781 264.057434082031 1.30217003822327 0.471170991659164 201.063720703125
"2021-03-20" 58313.64453125 1812.63464355469 264.741668701172 1.20654094219208 0.526991009712219 200.806427001953
"2021-03-21" 57523.421875 1788.21704101562 264.886169433594 1.18913996219635 0.519834995269775 196.427749633789
"2021-03-22" 54529.14453125 1691.333984375 255.900192260742 1.10987401008606 0.549942016601562 187.077835083008
"2021-03-23" 54738.9453125 1678.65014648438 255.689666748047 1.12155199050903 0.556595027446747 187.393966674805
